date,code,name,weight
2015-09-01,000006,深振业Ａ,0.27
2015-09-01,000012,南  玻Ａ,0.36
2015-09-01,000021,深科技,0.17
2015-09-01,000028,国药一致,0.21
2015-09-01,000030,富奥股份,0.12
2015-09-01,000031,中粮地产,0.45
2015-09-01,000049,德赛电池,0.13
2015-09-01,000062,深圳华强,0.18
2015-09-01,000066,长城电脑,0.42
2015-09-01,000078,海王生物,0.22
2015-09-01,000088,盐田港,0.15
2015-09-01,000090,天健集团,0.15
2015-09-01,000099,中信海直,0.18
2015-09-01,000401,冀东水泥,0.14
2015-09-01,000415,渤海租赁,0.29
2015-09-01,000417,合肥百货,0.13
2015-09-01,000418,小天鹅Ａ,0.13
2015-09-01,000422,湖北宜化,0.18
2015-09-01,000426,兴业矿业,0.09
2015-09-01,000488,晨鸣纸业,0.17
2015-09-01,000501,鄂武商Ａ,0.12
2015-09-01,000511,烯碳新材,0.31
2015-09-01,000513,丽珠集团,0.2
2015-09-01,000519,江南红箭,0.29
2015-09-01,000525,红 太 阳,0.08
2015-09-01,000528,柳工,0.18
2015-09-01,000540,中天城投,0.38
2015-09-01,000541,佛山照明,0.24
2015-09-01,000543,皖能电力,0.23
2015-09-01,000547,航天发展,0.34
2015-09-01,000550,江铃汽车,0.14
2015-09-01,000552,靖远煤电,0.05
2015-09-01,000563,陕国投Ａ,0.13
2015-09-01,000566,海南海药,0.65
2015-09-01,000572,海马汽车,0.19
2015-09-01,000582,北部湾港,0.04
2015-09-01,000587,金叶珠宝,0.23
2015-09-01,000592,平潭发展,0.24
2015-09-01,000596,古井贡酒,0.1
2015-09-01,000600,建投能源,0.14
2015-09-01,000603,盛达矿业,0.1
2015-09-01,000612,焦作万方,0.12
2015-09-01,000616,海航投资,0.29
2015-09-01,000620,新华联,0.15
2015-09-01,000631,顺发恒业,0.12
2015-09-01,000636,风华高科,0.12
2015-09-01,000650,仁和药业,0.44
2015-09-01,000652,泰达股份,0.16
2015-09-01,000656,金科股份,0.26
2015-09-01,000661,长春高新,0.28
2015-09-01,000667,美好集团,0.25
2015-09-01,000669,金鸿能源,0.12
2015-09-01,000671,阳光城,0.21
2015-09-01,000680,山推股份,0.15
2015-09-01,000681,视觉中国,0.15
2015-09-01,000685,中山公用,0.19
2015-09-01,000688,建新矿业,0.17
2015-09-01,000690,宝新能源,0.27
2015-09-01,000693,华泽钴镍,0.09
2015-09-01,000697,炼石有色,0.28
2015-09-01,000703,恒逸石化,0.08
2015-09-01,000718,苏宁环球,0.21
2015-09-01,000719,大地传媒,0.06
2015-09-01,000726,鲁  泰Ａ,0.15
2015-09-01,000732,泰禾集团,0.3
2015-09-01,000735,罗牛山,0.16
2015-09-01,000748,长城信息,0.68
2015-09-01,000758,中色股份,0.25
2015-09-01,000762,西藏矿业,0.12
2015-09-01,000777,中核科技,0.17
2015-09-01,000780,平庄能源,0.06
2015-09-01,000786,北新建材,0.31
2015-09-01,000788,北大医药,0.11
2015-09-01,000816,智慧农业,0.15
2015-09-01,000823,超声电子,0.09
2015-09-01,000829,天音控股,0.16
2015-09-01,000830,鲁西化工,0.19
2015-09-01,000848,承德露露,0.16
2015-09-01,000850,华茂股份,0.18
2015-09-01,000852,石化机械,0.07
2015-09-01,000860,顺鑫农业,0.1
2015-09-01,000861,海印股份,0.11
2015-09-01,000869,张  裕Ａ,0.15
2015-09-01,000877,天山股份,0.15
2015-09-01,000887,中鼎股份,0.41
2015-09-01,000897,津滨发展,0.18
2015-09-01,000900,现代投资,0.15
2015-09-01,000919,金陵药业,0.12
2015-09-01,000921,海信科龙,0.08
2015-09-01,000926,福星股份,0.15
2015-09-01,000930,中粮生化,0.38
2015-09-01,000931,中关村,0.14
2015-09-01,000933,神火股份,0.15
2015-09-01,000939,凯迪电力,0.25
2015-09-01,000951,中国重汽,0.06
2015-09-01,000961,中南建设,0.11
2015-09-01,000962,东方钽业,0.08
2015-09-01,000969,安泰科技,0.14
2015-09-01,000973,佛塑科技,0.14
2015-09-01,000975,银泰资源,0.13
2015-09-01,000979,中弘股份,0.33
2015-09-01,000988,华工科技,0.22
2015-09-01,000997,新 大 陆,0.34
2015-09-01,000998,隆平高科,0.4
2015-09-01,001696,宗申动力,0.25
2015-09-01,002004,华邦颖泰,0.31
2015-09-01,002005,德豪润达,0.2
2015-09-01,002011,盾安环境,0.13
2015-09-01,002013,中航机电,0.31
2015-09-01,002018,华信国际,0.63
2015-09-01,002022,科华生物,0.23
2015-09-01,002025,航天电器,0.18
2015-09-01,002028,思源电气,0.13
2015-09-01,002029,七匹狼,0.12
2015-09-01,002030,达安基因,0.6
2015-09-01,002041,登海种业,0.16
2015-09-01,002048,宁波华翔,0.14
2015-09-01,002049,同方国芯,0.22
2015-09-01,002050,三花股份,0.17
2015-09-01,002056,横店东磁,0.1
2015-09-01,002063,远光软件,0.2
2015-09-01,002064,华峰氨纶,0.14
2015-09-01,002069,獐子岛,0.17
2015-09-01,002073,软控股份,0.21
2015-09-01,002078,太阳纸业,0.13
2015-09-01,002091,江苏国泰,0.2
2015-09-01,002092,中泰化学,0.24
2015-09-01,002093,国脉科技,0.14
2015-09-01,002106,莱宝高科,0.24
2015-09-01,002118,紫鑫药业,0.12
2015-09-01,002122,天马股份,0.13
2015-09-01,002128,露天煤业,0.09
2015-09-01,002140,东华科技,0.11
2015-09-01,002143,印纪传媒,0.16
2015-09-01,002155,湖南黄金,0.16
2015-09-01,002161,远望谷,0.18
2015-09-01,002168,深圳惠程,0.15
2015-09-01,002174,游族网络,0.15
